Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Jamie Lumarque,9,16,0,34,125,27.2,19,79,24.1,1,4,25.0,3.9,2.2,1.9,0.0,9.8,,,,,,,
Tyrece Viner,5,8,0,18,47,38.3,3,7,42.9,10,20,50.0,7.8,0.6,0.2,0.2,9.8,,,,,,,
Jordan Jaskiewicz,11,16,0,41,88,46.6,19,44,43.2,6,9,66.7,6.5,1.2,0.7,0.3,9.7,,,,,,,
Tyler Koniuck,10,9,0,36,99,36.4,4,28,14.3,20,39,51.3,7.8,1.1,1.0,0.1,9.6,,,,,,,
Daniel Tuazon,5,8,0,20,74,27.0,6,34,17.6,2,2,100.0,6.4,1.4,2.2,0.4,9.6,,,,,,,
Devin Kinch,4,8,0,17,29,58.6,3,8,37.5,1,1,100.0,4.8,1.0,1.0,0.3,9.5,,,,,,,
Jeff Bi,6,12,0,22,67,32.8,12,44,27.3,1,5,20.0,3.2,0.8,1.5,0.0,9.5,,,,,,,
Edwin Mugoha Kaynya,2,1,0,8,17,47.1,2,8,25.0,1,2,50.0,8.0,0.5,1.5,0.5,9.5,,,,,,,
Scott Wolfe,6,12,0,26,57,45.6,0,1,0.0,5,12,41.7,5.8,0.8,1.0,0.0,9.5,,,,,,,
Rurik Mendoza,8,10,0,30,108,27.8,8,47,17.0,7,12,58.3,4.0,1.1,1.1,0.1,9.4,,,,,,,
William Odumah,5,10,0,19,69,27.5,9,33,27.3,0,0,0.0,3.8,3.0,1.4,0.2,9.4,,,,,,,
Kurtis Hyatt,10,14,0,37,99,37.4,15,57,26.3,4,7,57.1,5.5,1.8,1.9,0.2,9.3,,,,,,,
Donny Hayes,6,16,1,16,40,40.0,4,8,50.0,21,26,80.8,8.3,7.3,2.5,0.3,9.3,,,,,,,
Yale Michaels,5,9,0,22,61,36.1,0,1,0.0,2,5,40.0,10.4,1.6,1.0,0.6,9.2,,,,,,,
Jordan Lintz,9,9,2,39,90,43.3,0,12,0.0,4,19,21.1,8.6,0.9,1.0,0.8,9.1,,,,,,,
Lamar Mombo,7,8,0,25,58,43.1,8,29,27.6,4,7,57.1,3.3,1.9,1.6,0.3,9.0,,,,,,,
AJ Fernandez,5,7,0,17,34,50.0,5,11,45.5,6,7,85.7,3.2,1.6,1.6,0.2,9.0,,,,,,,
Jesse Gates,19,14,0,75,147,51.0,12,33,36.4,9,10,90.0,6.7,2.0,1.6,0.9,9.0,,,,,,,
Kaz Manchur,5,5,0,17,38,44.7,11,22,50.0,0,0,0.0,3.8,1.4,1.2,0.0,9.0,,,,,,,
Ben Osaroada,3,3,1,11,29,37.9,1,2,50.0,4,6,66.7,6.3,0.3,1.3,0.3,9.0,,,,,,,
Partap Hothi,1,0,0,4,11,36.4,1,5,20.0,0,0,0.0,6.0,3.0,0.0,1.0,9.0,,,,,,,
Stephen Jones,2,2,0,7,19,36.8,1,3,33.3,3,7,42.9,12.5,1.5,1.0,1.0,9.0,,,,,,,
DeMar Kraus,4,6,1,15,41,36.6,1,15,6.7,5,7,71.4,5.8,1.0,2.0,0.0,9.0,,,,,,,
Derek Edmond,1,1,0,3,13,23.1,3,9,33.3,0,0,0.0,3.0,2.0,0.0,0.0,9.0,,,,,,,
Joe Bodner,9,30,0,30,91,33.0,16,54,29.6,4,15,26.7,12.1,2.2,0.9,0.9,8.9,,,,,,,
Robin Quintana,7,15,0,24,84,28.6,13,54,24.1,7,14,50.0,6.4,1.6,0.6,0.0,8.9,,,,,,,
Kelsey Winsor,8,26,0,28,63,44.4,12,32,37.5,3,13,23.1,9.9,3.3,1.4,1.9,8.9,,,,,,,
Aeron Balbin,10,4,0,39,105,37.1,6,33,18.2,4,11,36.4,3.4,2.3,1.3,0.0,8.8,,,,,,,
Jason Nguyen,10,18,0,36,89,40.4,12,32,37.5,3,3,100.0,4.3,1.7,1.5,0.2,8.7,,,,,,,
John Aragon,9,8,0,31,75,41.3,9,28,32.1,6,10,60.0,2.8,1.8,1.3,0.0,8.6,,,,,,,
Kirk Calvadores,11,24,0,39,145,26.9,4,26,15.4,12,21,57.1,4.1,1.5,1.5,0.0,8.5,,,,,,,
Jaymar Minty-Dodd,9,17,0,37,95,38.9,1,21,4.8,1,3,33.3,6.6,1.6,1.3,0.4,8.4,,,,,,,
Jhommel Ramos,10,8,0,34,72,47.2,4,22,18.2,9,20,45.0,5.8,1.8,1.4,0.3,8.3,,,,,,,
Brandon Murdock,6,3,0,23,49,46.9,3,12,25.0,1,2,50.0,6.7,1.2,1.7,1.0,8.3,,,,,,,
Bobby Mangat,7,10,0,22,42,52.4,13,24,54.2,1,2,50.0,3.7,2.0,0.7,0.4,8.3,,,,,,,
Justin Schafer,7,6,0,22,64,34.4,5,17,29.4,9,23,39.1,7.6,1.7,1.6,0.3,8.3,,,,,,,
Justin Graida,6,7,0,18,48,37.5,8,19,42.1,5,9,55.6,5.2,1.3,0.7,0.2,8.2,,,,,,,
Gwyn Bernardo,9,14,0,32,90,35.6,5,36,13.9,4,9,44.4,5.9,2.3,0.2,0.4,8.1,,,,,,,
Tyler Sowerbutts,9,9,0,26,96,27.1,17,74,23.0,4,6,66.7,6.1,0.7,0.6,0.3,8.1,,,,,,,
Joseph Pascual,2,6,0,7,15,46.7,0,1,0.0,2,5,40.0,3.0,0.5,3.5,0.0,8.0,,,,,,,
Harold Memita,1,2,0,3,13,23.1,3,7,42.9,0,0,0.0,8.0,3.0,1.0,0.0,8.0,,,,,,,
Brandon Labute,10,21,1,32,70,45.7,8,24,33.3,8,15,53.3,6.9,1.3,0.7,0.7,8.0,,,,,,,
