Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Alex Vitolin,9,6,0,17,75,22.7,13,54,24.1,0,0,0.0,1.6,0.4,0.1,0.0,5.0,,,,,,,100
Mervin Robles,4,3,0,8,28,28.6,2,11,18.2,2,2,100.0,3.0,0.5,1.5,0.0,5.0,,,,,,,100
Gage O’Reilly-Trudel,8,16,0,19,70,27.1,0,7,0.0,1,4,25.0,7.3,1.3,0.5,0.0,4.9,,,,,,,100
Chris Kesson,9,6,0,19,86,22.1,4,36,11.1,2,3,66.7,4.3,1.4,1.8,0.2,4.9,,,,,,,100
Blake Sherk,10,7,0,18,57,31.6,13,37,35.1,2,2,100.0,2.7,1.0,0.3,0.0,4.8,,,,,,,100
Arvin Olesco,12,12,0,25,80,31.3,7,27,25.9,1,4,25.0,3.1,1.8,0.9,0.1,4.8,,,,,,,100
Mursal Mohamud,3,4,0,4,15,26.7,2,6,33.3,4,6,66.7,5.3,2.0,0.0,0.0,4.7,,,,,,,100
Riley Smith,5,5,1,7,27,25.9,0,1,0.0,3,8,37.5,5.4,0.6,0.2,0.4,4.6,,,,,,,100
Kevin McComiskey,9,14,0,20,38,52.6,0,1,0.0,1,4,25.0,7.6,2.3,0.9,0.1,4.6,,,,,,,100
Karl Sonan,4,9,0,9,44,20.5,0,15,0.0,0,0,0.0,3.5,1.3,1.0,0.3,4.5,,,,,,,100
Marc Alcaraz,8,4,0,14,34,41.2,7,20,35.0,1,2,50.0,3.1,0.6,0.5,0.0,4.5,,,,,,,100
Abraham Awada,8,9,0,15,38,39.5,0,10,0.0,6,14,42.9,8.1,1.4,1.0,0.0,4.5,,,,,,,100
James Casalme,8,9,0,13,52,25.0,4,23,17.4,6,11,54.5,4.1,1.8,1.0,0.1,4.5,,,,,,,100
Bruke Habtegebreal,10,7,0,17,68,25.0,10,38,26.3,6,2,300.0,1.4,0.4,0.1,0.0,4.4,,,,,,,100
Kolby Wiebe,5,10,0,8,23,34.8,3,13,23.1,3,10,30.0,4.0,1.0,1.2,0.2,4.4,,,,,,,100
Kyle Kanakis,10,16,0,17,65,26.2,9,37,24.3,2,7,28.6,3.2,1.0,0.4,0.3,4.4,,,,,,,100
Jordan Marasigan,11,15,0,20,77,26.0,4,26,15.4,4,16,25.0,3.8,0.7,1.5,0.5,4.4,,,,,,,100
Will Omelan,9,7,0,16,42,38.1,3,12,25.0,4,10,40.0,4.1,1.6,0.6,0.0,4.3,,,,,,,100
David Londono,3,1,0,5,11,45.5,0,0,0.0,3,3,100.0,7.0,1.0,1.3,0.3,4.3,,,,,,,100
Max Hughson,9,13,0,17,53,32.1,2,8,25.0,4,8,50.0,5.3,1.7,1.1,0.1,4.3,,,,,,,100
Andy Quintanilla,8,3,0,12,51,23.5,9,38,23.7,1,2,50.0,2.1,2.3,1.1,0.5,4.3,,,,,,,100
Damien Ruchkall,12,36,1,23,77,29.9,3,28,10.7,2,7,28.6,7.1,2.3,0.5,0.1,4.3,,,,,,,100
Josue Rios Peren,3,3,0,4,14,28.6,4,10,40.0,1,2,50.0,3.0,2.0,2.0,0.0,4.3,,,,,,,100
Tyrell Trinidad,7,6,0,11,41,26.8,8,26,30.8,0,0,0.0,4.9,0.6,0.3,0.3,4.3,,,,,,,100
Dylan Craik,3,3,0,5,14,35.7,2,4,50.0,1,2,50.0,3.0,1.3,1.7,0.0,4.3,,,,,,,100
Adam Soloway,6,1,0,13,33,39.4,0,2,0.0,0,1,0.0,4.8,1.5,0.7,0.0,4.3,,,,,,,100
Joshua Sacopla,6,4,0,12,37,32.4,1,4,25.0,1,4,25.0,2.7,0.2,0.5,0.2,4.3,,,,,,,100
Zack Filz,7,6,0,14,36,38.9,1,8,12.5,1,6,16.7,2.4,0.9,1.0,0.0,4.3,,,,,,,100
Emmanuel Oyelana,4,6,0,6,18,33.3,4,8,50.0,1,3,33.3,2.5,0.8,0.0,0.5,4.3,,,,,,,100
Richard Ramos,3,3,0,5,13,38.5,1,4,25.0,2,2,100.0,1.7,2.0,1.3,0.0,4.3,,,,,,,100
Ralph Navidad,6,14,0,11,50,22.0,2,25,8.0,1,4,25.0,4.5,1.0,0.8,0.0,4.2,,,,,,,100
Denton McIvor,8,14,0,15,38,39.5,2,8,25.0,1,3,33.3,5.4,0.5,0.6,0.9,4.1,,,,,,,100
Hansel Dela Cruz,10,8,0,19,53,35.8,1,4,25.0,2,9,22.2,3.0,1.2,1.0,0.0,4.1,,,,,,,100
Dillon Unger,9,2,0,12,47,25.5,12,46,26.1,0,0,0.0,1.3,0.3,0.4,0.0,4.0,,,,,,,100
Kevin Sharma,5,7,0,9,31,29.0,2,10,20.0,0,2,0.0,5.2,1.0,0.8,0.6,4.0,,,,,,,100
Spencer Harrison,6,5,0,10,39,25.6,3,22,13.6,1,3,33.3,7.2,0.5,0.3,0.3,4.0,,,,,,,100
Fawad Ahadzada,3,8,1,4,31,12.9,2,18,11.1,2,2,100.0,3.3,0.7,1.3,0.0,4.0,,,,,,,100
Rylan Zaplitiny,4,4,0,8,23,34.8,0,4,0.0,0,0,0.0,4.0,0.5,0.5,0.0,4.0,,,,,,,100
Thomas Tutor,7,17,0,12,38,31.6,7,18,38.9,1,2,50.0,1.3,0.7,1.3,0.3,4.0,,,,,,,100
Lex Knight,5,15,1,9,27,33.3,0,0,0.0,2,12,16.7,4.2,2.2,1.2,0.2,4.0,,,,,,,100
Patrick Alcantara,8,10,1,15,35,42.9,2,8,25.0,0,2,0.0,1.5,1.3,0.8,0.0,4.0,,,,,,,100
Sahib Viria,9,15,1,16,41,39.0,3,18,16.7,0,0,0.0,3.6,1.6,0.8,0.2,3.9,,,,,,,100
Wancha Foulmata,4,7,0,7,16,43.8,1,1,100.0,0,0,0.0,3.8,1.3,0.5,0.0,3.8,,,,,,,100
Javone Griffiths,7,13,0,13,39,33.3,0,2,0.0,0,2,0.0,6.7,1.1,0.3,0.1,3.7,,,,,,,100
Jackson Lintz,5,3,0,8,25,32.0,1,7,14.3,1,3,33.3,4.6,1.8,1.4,0.2,3.6,,,,,,,100
Jacob Clendenan,8,16,0,12,40,30.0,4,21,19.0,1,4,25.0,4.3,1.0,0.4,0.3,3.6,,,,,,,100
Bryce McDonald,10,21,0,14,50,28.0,1,6,16.7,7,10,70.0,5.2,2.0,0.9,0.9,3.6,,,,,,,100
Renz Dela Cruz,4,1,0,5,17,29.4,3,14,21.4,1,3,33.3,1.3,1.3,0.3,0.0,3.5,,,,,,,100
Perry Anthony,11,21,0,17,34,50.0,4,11,36.4,1,5,20.0,4.6,1.6,0.7,0.5,3.5,,,,,,,100
Reinier Maglalang,8,17,0,12,35,34.3,2,14,14.3,2,6,33.3,1.1,1.4,1.5,0.0,3.5,,,,,,,100
Aidan Field,10,5,0,14,46,30.4,9,35,25.7,0,0,0.0,2.0,0.9,0.1,0.0,3.5,,,,,,,100
Daniel Moroz,7,14,0,11,36,30.6,2,15,13.3,0,3,0.0,5.9,1.1,1.0,0.3,3.4,,,,,,,100
Jonas David,5,4,0,8,19,42.1,0,0,0.0,1,10,10.0,3.8,0.0,0.4,0.0,3.4,,,,,,,100
